,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_activation,param_alpha,param_batch_size,param_beta_1,param_beta_2,param_early_stopping,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_tol,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
1578,0.3505355517069499,0.001614967981974284,-0.977686524117122,-0.7093122731756107,logistic,0.0001,32,0.9,0.999,False,100,1.0,10000,1e-64,"{'max_iter': 10000, 'beta_2': 0.999, 'activation': 'logistic', 'batch_size': 32, 'alpha': 0.0001, 'beta_1': 0.9, 'tol': 1e-64, 'learning_rate_init': 1.0, 'early_stopping': False, 'hidden_layer_sizes': 100}",1492,-0.9022462282069504,-0.6684198985926135,-0.9134927963415727,-0.6213817861116764,-1.117565483828525,-0.8381351348225424,0.1555210163347968,8.915140573107501e-06,0.09893582795673006,0.09309365631312978
1579,0.5673928260803223,0.0016329288482666016,-0.8920549092216425,-0.6556976294659523,logistic,0.0001,32,0.9,0.999,False,100,1.0,10000,1e-16,"{'max_iter': 10000, 'beta_2': 0.999, 'activation': 'logistic', 'batch_size': 32, 'alpha': 0.0001, 'beta_1': 0.9, 'tol': 1e-16, 'learning_rate_init': 1.0, 'early_stopping': False, 'hidden_layer_sizes': 100}",1371,-0.9634508544456889,-0.8126646732416696,-0.8227793154320864,-0.5678136537842171,-0.8897027527701911,-0.5866145613719705,0.12976519279852233,1.6738048385598477e-05,0.05746839330632499,0.11125753354356652
1580,15.441802819569906,0.0002518494923909505,-0.47184636025312554,-0.39004562220635136,logistic,0.0001,32,0.9,0.999,False,10,0.0001,10000,1e-64,"{'max_iter': 10000, 'beta_2': 0.999, 'activation': 'logistic', 'batch_size': 32, 'alpha': 0.0001, 'beta_1': 0.9, 'tol': 1e-64, 'learning_rate_init': 0.0001, 'early_stopping': False, 'hidden_layer_sizes': 10}",76,-0.4190393352912015,-0.4135762858163322,-0.4899455593881319,-0.38697837968069243,-0.5067256374597897,-0.36958220112202966,0.44880645067413333,6.836513890459241e-07,0.038022304390199754,0.01809098955384097
1581,17.058409849802654,0.0002524852752685547,-0.46867497019073284,-0.3844020070793686,logistic,0.0001,32,0.9,0.999,False,10,0.0001,10000,1e-16,"{'max_iter': 10000, 'beta_2': 0.999, 'activation': 'logistic', 'batch_size': 32, 'alpha': 0.0001, 'beta_1': 0.9, 'tol': 1e-16, 'learning_rate_init': 0.0001, 'early_stopping': False, 'hidden_layer_sizes': 10}",40,-0.42483711376647254,-0.4100013869801078,-0.4832492910900803,-0.3864316114391184,-0.49808083641832174,-0.3567730228188796,1.392505474406684,3.371747880871523e-07,0.03163260004237611,0.021777728045152253
1582,0.05689446131388346,0.0002285639444986979,-0.7350985423043964,-0.6967433620537925,logistic,0.0001,32,0.9,0.999,False,10,1.0,10000,1e-64,"{'max_iter': 10000, 'beta_2': 0.999, 'activation': 'logistic', 'batch_size': 32, 'alpha': 0.0001, 'beta_1': 0.9, 'tol': 1e-64, 'learning_rate_init': 1.0, 'early_stopping': False, 'hidden_layer_sizes': 10}",1157,-0.6685127407964939,-0.7016119235409864,-0.7870087210187957,-0.7197597638872394,-0.7499903527651333,-0.6688583987331516,0.013962958864939971,5.314589658514813e-06,0.04951947444017136,0.02106362444046431
1583,0.05837337176005045,0.00022610028584798178,-0.7557292268235042,-0.7342705831760353,logistic,0.0001,32,0.9,0.999,False,10,1.0,10000,1e-16,"{'max_iter': 10000, 'beta_2': 0.999, 'activation': 'logistic', 'batch_size': 32, 'alpha': 0.0001, 'beta_1': 0.9, 'tol': 1e-16, 'learning_rate_init': 1.0, 'early_stopping': False, 'hidden_layer_sizes': 10}",1179,-0.7634522204499181,-0.8108395967527174,-0.7640956286437073,-0.7214393918920653,-0.7396147567222562,-0.6705327608833234,0.00969664322541656,4.1310600974931796e-06,0.011388444654164467,0.057994147119886985
1584,15.304864962895712,0.0028564929962158203,-0.7448937499410322,-0.7567384133427485,logistic,0.0001,32,0.95,0.9,True,"(100, 10, 5)",0.0001,10000,1e-64,"{'max_iter': 10000, 'beta_2': 0.9, 'activation': 'logistic', 'batch_size': 32, 'alpha': 0.0001, 'beta_1': 0.95, 'tol': 1e-64, 'learning_rate_init': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (100, 10, 5)}",1165,-0.5798131870004329,-0.6526577893046077,-0.6703051820675354,-0.6155130055500703,-0.9850988566088315,-1.0020444451735675,10.297631375501998,0.001521751513902919,0.17368944609493736,0.17411915590476143
1585,26.73854931195577,0.0018145243326822917,-0.6216774099958683,-0.6058591244484415,logistic,0.0001,32,0.95,0.9,True,"(100, 10, 5)",0.0001,10000,1e-16,"{'max_iter': 10000, 'beta_2': 0.9, 'activation': 'logistic', 'batch_size': 32, 'alpha': 0.0001, 'beta_1': 0.95, 'tol': 1e-16, 'learning_rate_init': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (100, 10, 5)}",962,-0.6103073855639302,-0.677600768828032,-0.6163076223441465,-0.553505743532222,-0.638454137743268,-0.5864708609850704,2.406505849436716,7.3209991155793055e-06,0.01210392134280157,0.05248379048738601
1586,0.2342189153035482,0.001854260762532552,-1.0228859889152044,-1.0263544930581618,logistic,0.0001,32,0.95,0.9,True,"(100, 10, 5)",1.0,10000,1e-64,"{'max_iter': 10000, 'beta_2': 0.9, 'activation': 'logistic', 'batch_size': 32, 'alpha': 0.0001, 'beta_1': 0.95, 'tol': 1e-64, 'learning_rate_init': 1.0, 'early_stopping': True, 'hidden_layer_sizes': (100, 10, 5)}",1808,-0.9797235316753721,-1.0431947041991863,-1.0764880908962855,-0.9966464518554771,-1.0125864820221373,-1.039222323119822,0.04079712163421515,6.814305340520864e-06,0.04017905826819846,0.02106926255528391
1587,0.15890192985534668,0.0018474260965983074,-1.0151957601425239,-1.0295355260362877,logistic,0.0001,32,0.95,0.9,True,"(100, 10, 5)",1.0,10000,1e-16,"{'max_iter': 10000, 'beta_2': 0.9, 'activation': 'logistic', 'batch_size': 32, 'alpha': 0.0001, 'beta_1': 0.95, 'tol': 1e-16, 'learning_rate_init': 1.0, 'early_stopping': True, 'hidden_layer_sizes': (100, 10, 5)}",1771,-0.9497387073472666,-1.0345007974700393,-1.0855837184206831,-1.0143629032885246,-1.010477377558308,-1.0397428773502997,0.01781931712427088,2.725930672668218e-05,0.05557348700847453,0.010940024715152298
