,Unnamed: 0,lat,long,avg_rainfall,Country
17536,17536,30.688053622662352,21.526267941520675,0.15178687870502472,Libya
17537,17537,30.41058146810184,21.522770992802247,0.1443723440170288,Libya
17538,17538,30.133249086983728,21.51932219430453,0.11860691010951994,Libya
17539,17539,29.85605469837637,21.515920914906165,0.1273917406797409,Libya
17540,17540,29.578996530198182,21.512566537165426,0.11894293874502182,Libya
17541,17541,29.302072819087968,21.509258456986434,0.10246231406927107,Libya
17542,17542,29.025281810276212,21.505996083295543,0.08590579032897949,Libya
17543,17543,28.748621757457748,21.502778837727643,0.0839271992444992,Libya
17544,17544,28.472090922665785,21.499606154321977,0.0839271992444992,Libya
17545,17545,28.195687576147147,21.49647747922718,0.07279621064662932,Libya
17546,17546,27.91940999623853,21.493392270415196,0.05897952988743783,Libya
17547,17547,27.64325646924436,21.490349997403776,0.055839966982603066,Libya
17548,17548,27.367225289315382,21.487350140987328,0.055538587272167206,Libya
17549,17549,27.091314758328682,21.48439219297571,0.03989716246724129,Libya
17550,17550,26.81552318576877,21.48147565594082,0.037556350231170654,Libya
17551,17551,26.539848888609786,21.47860004297068,0.03195343166589737,Libya
17552,17552,26.26429019119868,21.47576487743077,0.031261228024959564,Libya
17553,17553,25.98884542513967,21.472969692732345,0.02452362328767776,Libya
17554,17554,25.71351292917957,21.470214032107545,0.023552373051643368,Libya
17555,17555,25.438291049094182,21.467497448391065,0.027542736381292343,Libya
17556,17556,25.163178137575816,21.464819503808197,0.01985263265669346,Libya
17557,17557,24.888172554121624,21.462179769768923,0.018758723512291908,Libya
17558,17558,24.613272664923038,21.459577826668106,0.018758723512291908,Libya
17559,17559,24.338476842756076,21.457013263691255,0.015709776431322098,Libya
17560,17560,24.063783466872643,21.45448567862605,0.014900628477334974,Libya
17561,17561,23.78919092289272,21.451994677679085,0.012594767846167088,Libya
17562,17562,23.514697602697424,21.449539875298036,0.014646120369434357,Libya
17563,17563,23.24030190432297,21.44712089399866,0.015498597174882887,Libya
17564,17564,22.9660022318556,21.44473736419698,0.013010863214731216,Libya
17565,17565,22.691796995327056,21.44238892404596,0.010436187498271464,Libya
17566,17566,22.417684610611296,21.44007521927702,0.011714276857674122,Libya
17567,17567,22.143663499321644,21.437795903045878,0.016175294294953346,Libya
17568,17568,21.86973208870894,21.435550635782768,0.01258117612451315,Libya
17569,17569,21.59588881156049,21.43333908504696,0.020585371181368828,Libya
17570,17570,21.322132106099577,21.431160925385168,0.025727862492203712,Libya
17571,17571,21.048460415885963,21.42901583819416,0.030913732945919037,Libya
17572,17572,20.774872189716927,21.426903511587,0.034033697098493576,Chad
17573,17573,20.50136588152912,21.424823640263163,0.0380428321659565,Chad
17574,17574,20.227939950301106,21.422775925382236,0.039363376796245575,Chad
17575,17575,19.954592859956573,21.420760074441112,0.05050724744796753,Chad
17576,17576,19.681323079268164,21.418775801154638,0.0961156040430069,Chad
17577,17577,19.40812908176205,21.41682282533955,0.09267432987689972,Chad
17578,17578,19.135009345623104,21.41490087280172,0.12157227098941804,Chad
17579,17579,18.86196235360062,21.41300967522641,0.14378920197486875,Chad
17580,17580,18.58898659291485,21.411148970071693,0.17870154976844788,Chad
17581,17581,18.316080555163847,21.40931850046479,0.1796467900276184,Chad
17582,17582,18.04324273623117,21.407518015101275,0.19228661060333246,Chad
17583,17583,17.77047163619395,21.40574726814713,0.27415648102760315,Chad
17584,17584,17.497765759231594,21.404006019143495,0.3801316022872925,Chad
17585,17585,17.22512361353508,21.402294032914103,0.41681331396102905,Chad
17586,17586,16.95254371121665,21.400611079475254,0.4189016819000244,Chad
17587,17587,16.680024568220134,21.39895693394836,0.4542374610900879,Chad
17588,17588,16.407564704231714,21.397331376474927,0.5343450903892517,Chad
17589,17589,16.13516264259118,21.39573419213389,0.5042998790740967,Chad
17590,17590,15.86281691020369,21.394165170861328,0.6577913165092468,Chad
17591,17591,15.590526037451935,21.392624107372395,0.7843221426010132,Chad
17592,17592,15.318288558108804,21.391110801085514,1.0287152528762815,Chad
17593,17593,15.04610300925049,21.389625056048654,0.9761865735054016,Chad
17594,17594,14.773967931169972,21.388166680867812,1.115473389625549,Chad
17595,17595,14.501881867290914,21.38673548863744,1.2561708688735962,Chad
17596,17596,14.229843364082049,21.38533129687291,1.4458665847778318,Chad
17597,17597,13.957850970971789,21.383953927444974,1.4587595462799072,Chad
17598,17598,13.685903240263395,21.38260320651606,1.5960100889205933,Chad
17599,17599,13.413998727050359,21.38127896447848,1.6724182367324831,Chad
17600,17600,13.142135989132225,21.379981035894424,1.6684476137161257,Chad
17601,17601,12.870313586930704,21.378709259437755,1.727651596069336,Chad
17602,17602,12.598530083406153,21.377463477837512,1.792480230331421,Chad
17603,17603,12.326784043974321,21.376243537823147,1.892094731330872,Chad
17604,17604,12.055074036423473,21.375049290071374,2.050745248794556,Chad
17605,17605,11.783398630831726,21.37388058915469,2.1520452499389653,Chad
17606,17606,11.511756399484725,21.372737293491454,2.055850982666016,Chad
17607,17607,11.240145916793557,21.371619265297507,2.055850982666016,Chad
17608,17608,10.968565759212947,21.370526370539388,2.008050441741944,Chad
17609,17609,10.697014505159695,21.36945847888894,2.0756151676177983,Chad
17610,17610,10.42549073493134,21.36841546367945,2.1598155498504643,Chad
17611,17611,10.153993030625058,21.36739720186323,2.338569164276123,Chad
17612,17612,9.882519976056779,21.366403573970487,2.5425026416778564,Central African Republic
17613,17613,9.611070156680519,21.365434464069775,2.7591025829315186,Central African Republic
17614,17614,9.33964215950786,21.364489759729572,2.9644396305084233,Central African Republic
17615,17615,9.068234573027684,21.363569351981386,3.3829495906829834,Central African Republic
17616,17616,8.796845987126012,21.362673135284,3.585998058319092,Central African Republic
17617,17617,8.525474993006053,21.361801007489127,3.594325065612793,Central African Republic
17618,17618,8.254120183108366,21.360952869808262,3.4712646007537837,Central African Republic
17619,17619,7.982780151031201,21.360128626780728,3.609978199005127,Central African Republic
17620,17620,7.711453491450932,21.359328186243086,3.6004042625427246,Central African Republic
17621,17621,7.440138800042644,21.358551459299566,3.660172700881958,Central African Republic
17622,17622,7.168834673400798,21.357798360293813,3.6480712890625,Central African Republic
17623,17623,6.897539708960013,21.357068806781736,3.8006186485290527,Central African Republic
17624,17624,6.626252504915942,21.356362719505512,3.865116834640503,Central African Republic
17625,17625,6.354971660146202,21.35568002236872,3.858330488204956,Central African Republic
