,lat,long,avg_rainfall
32120,5.886339133054769,44.29714315486347,0.5887168049812317
32121,5.621286981668634,44.28587179908616,0.6484870314598083
32122,5.356222306687075,44.27500914998134,0.6484870314598083
32123,5.091144226700683,44.264554149487594,0.7719169855117798
32124,4.826051857894236,44.25450579062395,1.0907728672027588
32125,4.560944314091143,44.244863117215544,1.1009702682495117
32126,4.29582070679687,44.23562522363504,1.1698236465454102
32127,4.030680145241351,44.226791254560055,1.2734370231628418
32128,3.7655217364205034,44.21836040474593,1.5779526233673096
32129,3.5003445851368173,44.210331918814234,1.7141282558441162
32130,3.235147794039107,44.20270509105656,1.5057564973831177
32131,2.969930463661455,44.19547926525368,1.5057564973831177
32132,2.7046916924614104,44.188653834509964,1.3395313024520874
32133,2.4394305768574425,44.18222824110285,1.268043875694275
32134,2.174146211265755,44.17620197634746,1.430821180343628
32135,1.9088376881364366,44.17057458047628,1.2476694583892822
32136,1.6435040979890454,44.16534564253363,0.8834478855133057
32137,-16.239931521612085,44.74692051432605,3.8384456634521484
32138,-16.509175517539042,44.7706074512238,4.436310291290283
32139,-16.77850993003053,44.79479250971421,4.682902812957764
32140,-17.0479357028433,44.81947940793388,4.659816741943359
32141,-17.317453777778656,44.844671950653364,4.83737850189209
32142,-17.58706509455344,44.870374030734745,4.834893703460693
32143,-17.856770590666603,44.896589630630274,4.6843695640563965
32144,-18.126571201261303,44.923322823922966,4.6513352394104
32145,-18.396467858982085,44.95057777691048,4.691498756408691
32146,-18.666461493827278,44.97835875023318,4.6329498291015625
32147,-18.936553032996173,45.006670100547815,4.466629981994629
32148,-19.206743400731085,45.03551628224791,4.295994281768799
32149,-19.47703351815376,45.06490184923207,4.011505126953125
32150,-19.747424303096302,45.09483145672173,3.8231139183044434
32151,-20.017916669926098,45.12530986312948,3.9431400299072266
32152,-20.288511529364815,45.15634193197954,3.7559335231781006
32153,-20.559209788300954,45.18793263388172,3.567359685897827
32154,-20.830012349596096,45.22008704856042,3.292055368423462
32155,-21.10092011188422,45.25281036694022,3.105173349380493
32156,-21.371933969364218,45.286107893289746,2.855126142501831
32157,-21.643054811585106,45.31998504742528,2.688779354095459
32158,-21.91428352322373,45.35444736697598,2.5440385341644287
32159,-22.18562098385479,45.38950050971261,2.3590426445007324
32160,-22.457068067712914,45.425150255941226,2.290283203125
32161,-22.728625643446218,45.46140251096417,2.290283203125
32162,-23.00029457386154,45.49826330761012,2.4176108837127686
32163,-23.272075715660534,45.53573880883519,2.497258186340332
32164,-23.543969919166635,45.57383531039734,2.6181230545043945
32165,-23.815978028042572,45.612559243606235,2.853671073913574
32166,-24.08810087899781,45.65191717815074,2.9749794006347656
32167,-24.360339301485848,45.69191582500651,2.4609413146972656
32168,-24.63269411739084,45.732562039426014,2.4104321002960205
32169,-24.905166140703294,45.773862824013555,1.9582996368408203
32170,-25.177756177184246,45.815825331887936,2.0551133155822754
32171,10.378038383926068,44.832133223138094,1.3434253931045532
32172,10.113217056744771,44.81350680110661,1.4785271883010864
32173,9.848397209890887,44.795319943199814,1.4785271883010864
32174,9.583578023929668,44.77757064705707,0.8533868789672852
32175,9.318758675951065,44.760256969204406,0.6589084267616272
32176,9.053938339642883,44.74337702447715,0.7277571558952332
32177,8.789116185361996,44.726928985462116,0.6798712015151978
32178,8.524291380203534,44.71091108195945,0.6364752054214478
32179,8.259463088068259,44.69532160046352,0.6369655728340149
32180,7.994630469728056,44.68015888366255,0.6367471218109131
32181,7.7297926828897126,44.665421329957105,0.8892660737037659
32182,7.464948882256982,44.65110739299665,0.8892660737037659
32183,7.200098219591007,44.637215581234365,1.026819109916687
32184,6.93523984376917,44.62374445749967,0.9847211837768555
32185,6.670372900842429,44.6106926385885,0.9193916916847229
32186,6.405496534091171,44.59805879487081,0.8457295298576355
32187,6.14060988407967,44.58584164991542,0.7162013649940491
32188,5.875712088709179,44.574039980131765,0.6905102133750916
32189,5.610802283269731,44.562652614428444,0.746528148651123
32190,5.345879600490672,44.55167843388845,0.8085725903511047
32191,5.080943170590009,44.541116371460774,0.7719169855117798
32192,4.815992121322602,44.53096541166839,1.0068814754486084
32193,4.551025578027254,44.52122459033228,1.1161787509918213
32194,4.286042663672754,44.51189299431163,1.208545446395874
32195,4.021042498902912,44.50296976125962,1.4275480508804321
32196,3.7560242020806465,44.49445407939535,1.5356426239013672
32197,3.4909868893311473,44.486345187290986,1.6380016803741455
32198,3.2259296745841906,44.47864237367477,1.3798778057098389
32199,2.960851669615627,44.47134497724926,1.3798778057098389
32200,2.6957519840880977,44.464452386525025,1.1769583225250244
32201,2.4306297255910265,44.457964039669534,1.1102783679962158
32202,2.1654839996799224,44.451879424371285,1.1936160326004028
32203,1.900313909915044,44.44619807771904,0.9629302024841309
32204,-15.969907570974206,45.00605207571911,3.737682819366455
32205,-16.238910745946985,45.02951020868049,3.9430317878723145
32206,-16.508002752619465,45.05346828981905,4.340016841888428
32207,-16.777184520650295,45.0779299897114,4.640432357788086
32208,-17.046456977670296,45.10289906497168,4.748144626617432
32209,-17.31582104915264,45.128379359681034,4.844627380371094
32210,-17.585277658278464,45.15437480685727,4.8610758781433105
32211,-17.85482772579809,45.18088942996575,4.765470504760742
32212,-18.124472169887387,45.20792734447271,5.038518905639648
32213,-18.394211905999416,45.23549275944193,4.691498756408691
32214,-18.664047846710904,45.26358997917616,4.736361503601074
32215,-18.933980901563565,45.29222340490421,4.742658615112305
32216,-19.204011976899935,45.3213975365152,4.645803928375244
32217,-19.474141975693712,45.351116974341025,4.425833702087402
32218,-19.7443717973742,45.3813864209886,4.276819705963135
32219,-20.014702337644792,45.41221068322295,4.400031566619873
32220,-20.28513448829528,45.44359467390286,4.115020751953125
32221,-20.55566913700761,45.47554341397023,3.687276601791382
32222,-20.826307167155083,45.508062034495026,3.3545730113983154
32223,-21.09704945759464,45.54115577877701,3.2130281925201416
32224,-21.36789688245197,45.57483000450604,2.7556312084198
32225,-21.63885031089923,45.609090185982694,2.605437994003296
32226,-21.90991060692517,45.64394191640079,2.490265130996704
32227,-22.18107862909723,45.67939091019363,2.339792013168335
32228,-22.45235523031553,45.71544300544586,2.2926931381225586
32229,-22.723741257558263,45.75210416637287,2.2926931381225586
32230,-22.995237551618402,45.78938048586959,2.843475341796875
32231,-23.266844946831174,45.82727818813092,2.9233407974243164
